,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.26236643396787585,0.2431027680965962,0.2442935563170656,10,21.701339114322703,20.389120345544395,21.247622131183945
0,20,0.19703758347068862,0.16196164427881468,0.1812662742173913,20,17.454191170415022,15.395978250524411,16.50979085268604
0,30,0.1590060145094141,0.14174664440506204,0.14184966242215155,30,14.794355817177804,14.583743088851374,13.768883629715722
0,40,0.15146517763938067,0.1405925453763155,0.14019495800774034,40,14.286246876684988,14.584647828162897,13.526001544554559
0,50,0.15676111724227323,0.14327730371982042,0.14333463192927656,50,14.911035172670209,14.456013937972662,13.921876436516603
0,60,0.15838746116141855,0.14653191026497606,0.14104576894726378,60,15.096762471753236,14.868200750383528,13.752923922123376
0,70,0.16084835693493343,0.15212718114481058,0.142600405106672,70,15.339212985559792,15.181582092465604,13.81505297371805
0,80,0.16224915084381378,0.15203700154490646,0.1467506392922223,80,15.469473073206167,15.271506468552708,14.24253166024578
0,90,0.16258987565478983,0.1519178287259024,0.1469367696664522,90,15.527020087601981,15.231878429937536,14.265326439045781
0,100,0.16321118552458033,0.15285965757179676,0.14877318068011977,100,15.616823339465977,15.2874253836192,14.448589141202984
