,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.3866437684903992,0.33680489979033645,0.3955748320217133,10,34.6408868725011,32.32520124013647,35.421939769503815
0,20,0.21251848874696674,0.19531185942682272,0.2157944120158107,20,19.96422601900022,19.35177139549363,20.65214044060071
0,30,0.16929869812182835,0.16876873960320016,0.16029448206692617,30,16.443210689124754,17.252357508768196,15.539548296784272
0,40,0.16065764935596163,0.15432877730002076,0.14681026611137882,40,15.98149369554134,15.654543372011249,14.549134065045866
0,50,0.16422499804348817,0.15237985924779163,0.15062512355196275,50,16.364641786100385,15.20215518921771,14.805395153221076
0,60,0.16308151592256614,0.151663622520953,0.15304447555045014,60,16.25722626947509,15.036312350658307,15.020307062723257
0,70,0.16839828973661516,0.16001932259233206,0.15939015209880947,70,16.866512143121515,15.898154925847816,15.761121905113312
0,80,0.17520755367706192,0.1703927837345798,0.1660183319696518,80,17.389637499725268,16.482366649017592,16.036732382506507
0,90,0.17753048214220327,0.1739265721666685,0.16851195034177782,90,17.539317155090938,16.69645867248565,16.182535406520714
0,100,0.17779830144863046,0.1729732687442458,0.16777583495423706,100,17.565765423770642,16.586808298674104,16.096040031767274
